# stage	experiment	model
# Every (stage, experiment, model) combination the paper's results are built from.
# Submit them all with slurm/submit_all.sh, or one row at a time with slurm/submit.sh.
train_npe	experiment_1	rdm_simple
train_npe	experiment_1	rdm_simple_discrete_lower
train_npe	experiment_1	rdm_simple_discrete_upper
train_npe	experiment_1	rdm_simple_discrete_full
train_npe	experiment_2	rdm_simple
train_npe	experiment_2	rdm_simple_lower
train_npe	experiment_2	rdm_simple_upper
train_npe	experiment_2	rdm_simple_meta
train_npe	experiment_2	rdm_simple_meta_lower
train_npe	experiment_2	rdm_simple_meta_upper
train_npe	experiment_1	lba_simple
train_npe	experiment_2	lba_simple
train_npe	experiment_2	lba_simple_lower
train_npe	experiment_2	lba_simple_upper
train_npe	experiment_2	lba_simple_meta
train_npe	experiment_2	lba_simple_meta_lower
train_npe	experiment_2	lba_simple_meta_upper
generate_test_data	experiment_1	rdm_simple
generate_test_data	experiment_2	rdm_simple
generate_test_data	experiment_2	rdm_simple_meta
generate_test_data	experiment_1	lba_simple
generate_test_data	experiment_2	lba_simple_meta
prior_stats	experiment_2	rdm_simple
prior_stats	experiment_2	rdm_simple_lower
prior_stats	experiment_2	rdm_simple_upper
prior_stats	experiment_2	rdm_simple_meta
prior_stats	experiment_2	rdm_simple_meta_lower
prior_stats	experiment_2	rdm_simple_meta_upper
fit_mcmc_gpu	experiment_1	rdm_simple
fit_mcmc_gpu	experiment_2	rdm_simple
fit_mcmc_gpu	experiment_2	rdm_simple_meta
fit_mcmc_gpu	experiment_4	rdm_simple
fit_mcmc_gpu	experiment_4	rdm_simple_meta
predict_npe	experiment_1	rdm_simple
predict_npe	experiment_2	rdm_simple
predict_npe	experiment_2	rdm_simple_meta
predict_npe	experiment_4	rdm_simple
predict_npe	experiment_4	rdm_simple_meta
check_metrics	experiment_1	rdm_simple
check_metrics	experiment_2	rdm_simple
check_metrics	experiment_2	rdm_simple_meta
check_summary_stats	experiment_1	rdm_simple
check_summary_stats	experiment_2	rdm_simple
check_summary_stats	experiment_2	rdm_simple_meta
check_summary_stats	experiment_4	rdm_simple
check_robustness	experiment_1	rdm_simple
check_robustness	experiment_2	rdm_simple
check_robustness	experiment_2	rdm_simple_meta
check_robustness	experiment_4	rdm_simple
check_posterior_predictive	experiment_4	rdm_simple
check_posterior_predictive	experiment_4	rdm_simple_meta
